year;jounral;title;url
2018;APS Division of Atomic_ Molecular and Optical Physics Meeting Abstracts 2018 …;Quantum coherent control of the photoelectron angular distribution in bichromatic-field ionization;
2018;APS Division of Atomic_ Molecular and Optical Physics Meeting Abstracts 2018 …;Cross Sections and Spin Asymmetries for Electron Collisions with Lead;
2018;APS Division of Atomic_ Molecular and Optical Physics Meeting Abstracts 2018 …;Comprehensive out-of-plane (e_ 2 e) measurements and calculations on He autoionizing levels;
2018;Computer Physics Communications 225_ 192-193;A new Fortran 90 program to compute regular and irregular associated Legendre functions (new version announcement);
2018;Physical Review A 97 (1)_ 013425;Ratios of double to single ionization of He and Ne by strong 400-nm laser pulses using the quantitative rescattering theory;https://link.aps.org/accepted/10.1103/PhysRevA.97.013425
2018;Physical Review A 97 (1)_ 013420;Quantum coherent control of the photoelectron angular distribution in bichromatic-field ionization of atomic neon;https://link.aps.org/accepted/10.1103/PhysRevA.97.013420
2018;Journal of Physics B: Atomic_ Molecular and Optical Physics 51 (3)_ 035004;Low-energy outer-shell photo-detachment of the negative ion of aluminum;
2018;Physical Review A 97 (1)_ 013402;Dynamics of tunneling ionization using Bohmian mechanics;https://link.aps.org/accepted/10.1103/PhysRevA.97.013402
2018;APS Annual Gaseous Electronics Meeting Abstracts_ PR1. 002;Light polarization after electron impact excitation of Zinc.;
2018;APS Annual Gaseous Electronics Meeting Abstracts_ PR1. 007;Dirac B-spline R-Matrix Calculations for e-Xe+ collisions.;
2018;APS Annual Gaseous Electronics Meeting Abstracts_ PR1. 003;Cross Sections and Spin Asymmetries for Electron Collisions with Lead Atoms;
2017;arXiv preprint arXiv:1712.00842;Quantum coherent control of the photo\-electron angular distribution in bichromatic ionization of atomic neon;https://arxiv.org/pdf/1712.00842
2017;Journal of Physics B: Atomic_ Molecular and Optical Physics 50 (LA-UR-17-26291);A brief history of electron and photon collisions with H2+ and H2;
2017;Bulletin of the American Physical Society 62;Electron Impact Excitation of Xenon;
