year;jounral;title;url
2015;APS Annual Gaseous Electronics Meeting Abstracts, HT1. 002;Benchmark calculations for electron collisions with complex atoms: accuracy, convergence and completeness;
2015;APS Annual Gaseous Electronics Meeting Abstracts, LW1. 009;Emission and Ionization Cross Sections for Atomic Oxygen;
2015;Journal of Physics: Conference Series 635 (9), 092027;Breit-Pauli electron-impact excitation collision strengths for transitions in O III;
2015;Journal of Physics: Conference Series 635 (9), 092018;Non-perturbative B-spline R-matrix with pseudo-states calculations for electron-impact excitation-ionization of helium to the n= 3 states;https://iopscience.iop.org/article/10.1088/1742-6596/635/9/092018/pdf
2015;Journal of Physics B: Atomic, Molecular and Optical Physics 48 (18), 185201;Polarization correlations for electron-impact excitation of neon at 50 eV;https://iopscience.iop.org/article/10.1088/0953-4075/48/18/185201/ampdf
2015;PHYSICAL REVIEW A 92 (1);Low-energy electron-impact ionization of argon: Three-dimensional cross section (vol 85, 032702, 2012);
2015;Physical Review A 92 (1), 019901;Erratum: Low-energy electron-impact ionization of argon: Three-dimensional cross section [Phys. Rev. A 85, 032702 (2012)];
2015;Journal of Physics: Conference Series 635 (5), 052023;B-spline R-matrix-with-pseudostates calculations for electron-impact excitation and ionization of oxygen;https://iopscience.iop.org/article/10.1088/1742-6596/635/5/052023/pdf
2015;Journal of Physics: Conference Series 635 (5), 052012;Electron scattering from aluminum: B-spline R-matrix calculations;https://iopscience.iop.org/article/10.1088/1742-6596/635/5/052012/pdf
2015;Journal of Physics: Conference Series 635 (5), 052024;Electron-impact excitation of Fe IX;
2015;APS Division of Atomic, Molecular and Optical Physics Meeting Abstracts 2015 …;Electron Impact Exciation of Fe IX;
2015;Astronomy & Astrophysics 577, A113;Effective collision strengths between Mg I and electrons;https://www.aanda.org/articles/aa/pdf/2015/05/aa25914-15.pdf
2015;APS Division of Atomic, Molecular and Optical Physics Meeting Abstracts 2015 …;Simultaneous ionization-excitation of helium to the 3s, 3p, and 3d states of He+;
2015;Physica Scripta 90 (5), 054006;Close-coupling calculations for electron–atom collisions: benchmark studies and uncertainty estimates;https://www.researchgate.net/profile/Oleg-Zatsarinny/publication/276471597_Close-coupling_calculations_for_electron-atom_collisions_Benchmark_studies_and_uncertainty_estimates/links/555e16ca08ae6f4dcc8dd0eb/Close-coupling-calculations-for-electron-atom-collisions-Benchmark-studies-and-uncertainty-estimates.pdf
2015;Phys. Rev. A 79, 052709;Effective collision strengths between MgI and electrons (Research Note);https://www.researchgate.net/profile/Oleg-Zatsarinny/publication/274403460_Effective_collision_strengths_between_Mg_I_and_electrons/links/555e0e7908ae86c06b5f32eb/Effective-collision-strengths-between-Mg-I-and-electrons.pdf
2015;Physical Review A 91 (3), 032707;Kinematically complete study of low-energy electron-impact ionization of neon: Internormalized cross sections in three-dimensional kinematics;https://link.aps.org/accepted/10.1103/PhysRevA.91.032707
2015;;Impact of new atomic data for NLTE studies of neutral magnesium in cool stars;
2015;Physical Review A 91 (1), 013413;Photoionization of Fe 7+ from the ground and metastable states;https://link.aps.org/accepted/10.1103/PhysRevA.91.013413
2015;Journal of Physics: Conference Series 635, 052021;Low-energy (E₀= 65 eV) Electron-Impact Ionization of Neon: Low-energy (E= 65 eV) Electron-Impact Ionization of Neon: Internormalized Triple-Differentical Cross Sections in 3D …;https://core.ac.uk/download/pdf/229149123.pdf
2015;;Impact of new atomic data for NLTE studies of neutral magnesium in cool stars: I. Test cases with a simple Mg I model atom;
2015;Institute of Physics-IOP Publishing 635 (5);Low-energy (E₀= 65 eV) Electron-Impact Ionization of Neon: Internormalized Triple-Differentical Cross Sections in 3D Kinematics;https://iopscience.iop.org/article/10.1088/1742-6596/635/5/052021/pdf
2014;EPJ Techniques and Instrumentation 1, 1-13;Novel method for state selective determination of electron-impact-excitation cross sections from 0 to 180;https://link.springer.com/content/pdf/10.1140/epjti/s40485-014-0006-2.pdf
2014;APS Annual Gaseous Electronics Meeting Abstracts, FT3. 008;Plasma Formation During Operation of a Diode Pumped Alkali Laser (DPAL) in Cs;
2014;APS Annual Gaseous Electronics Meeting Abstracts, MW1. 004;Comparison of analytical formulae and quantum calculations for differential cross sections in e-Ar;
2014;APS Annual Gaseous Electronics Meeting Abstracts, QR3. 004;B-spline R-matrix with pseudostates calculations for electron collisions with atomic nitrogen;
2014;AAS/High Energy Astrophysics Division# 14 14, 115.01;Electron Impact Excitation Collision Strengths for Extreme Ultraviolet Lines of Fe VII and Fe IX;
2014;Physical Review A 90 (1), 012704;Theoretical and experimental investigation of (e, 2 e) ionization of argon 3 p in asymmetric kinematics at intermediate energy;https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1504&context=phys_facwork
2014;Physical Review A 89 (6), 062714;B-spline R-matrix-with-pseudostates calculations for electron-impact excitation and ionization of nitrogen;https://www.researchgate.net/profile/Oleg-Zatsarinny/publication/283047069_B-spline_R-matrix-with-pseudostates_calculations_for_electron-impact_excitation_and_ionization_of_nitrogen/links/56328e4708ae911fcd49121b/B-spline-R-matrix-with-pseudostates-calculations-for-electron-impact-excitation-and-ionization-of-nitrogen.pdf
2014;American Astronomical Society Meeting Abstracts# 224 224, 119.01;Transition Probabilities and Electron Impact Excitation Collision Strengths for Fe VII;
2014;The Astrophysical Journal 788 (1), 24;Electron impact excitation collision strengths for extreme ultraviolet lines of Fe VII;https://iopscience.iop.org/article/10.1088/0004-637X/788/1/24
2014;Physical Review A 89 (5), 052713;B-spline R-matrix-with-pseudostates calculations for electron-impact excitation and ionization of fluorine;
2014;Plasma Sources Science and Technology 23 (3), 035011;Electron collisions with cesium atoms—benchmark calculations and application to modeling an excimer-pumped alkali laser;https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=6630d49c07539c3041b6a5b95b69a85816051ba1
2014;APS Division of Atomic, Molecular and Optical Physics Meeting Abstracts, K1. 043;Electron Impact Excitation Collision Strengths for Fine-Structure Transitions in of Fe IX;
2014;Journal of Physics: Conference Series 488 (1), 012044;Benchmark calculations for electron collisions with complex atoms;https://iopscience.iop.org/article/10.1088/1742-6596/488/1/012044/pdf
2014;Journal of Physics: Conference Series 488 (4), 042012;Experimental and theoretical investigation of (e, 2e) ionization of Ar (3p) in asymmetric kinematics at intermediate energies;https://iopscience.iop.org/article/10.1088/1742-6596/488/4/042012/pdf
2014;Journal of Physics: Conference Series 488 (4), 042009;Large-scale B-spline R-matrix with pseudostates calculations for electron scattering from argon;https://iopscience.iop.org/article/10.1088/1742-6596/488/4/042009/pdf
2014;Physical Review A 89 (3), 033417;Time delays for attosecond streaking in photoionization of neon;https://arxiv.org/pdf/1401.2878
2014;Journal of Physics B: Atomic, Molecular and Optical Physics 47 (6), 061001;Benchmark calculation of total cross sections for ionization–excitation of helium;
